#{"t_start": 1765125375.6174812, "env_id": "None"}
r,l,t
-386.157249,100,1.65402
-311.121988,100,3.281091
-332.466971,100,4.564179
-412.791872,100,5.85219
-362.573574,100,7.139843
-319.606747,100,8.459807
-334.465883,100,9.774271
-227.265759,100,11.070031
-265.633729,100,12.351509
-224.165407,100,13.634928
-290.772779,100,15.022428
-252.188382,100,16.548946
-248.800712,100,18.045582
-225.053339,100,19.413771
-276.403183,100,20.779814
-211.670665,100,22.164364
-194.656588,100,23.579205
-149.024585,100,24.8523
-254.200781,100,26.148639
-191.812244,100,27.463707
-159.784028,100,28.75558
-150.359351,100,30.082559
-200.899809,100,31.4461
-201.200248,100,32.71272
-95.612461,100,33.991657
-176.742915,100,35.299875
-142.824128,100,36.568197
-110.449623,100,37.861574
-136.266544,100,39.143033
-106.009859,100,40.404128
-119.247897,100,41.684965
-128.668493,100,42.989035
-192.646629,100,44.283215
-111.602732,100,45.625687
-198.810448,100,47.094178
-163.81215,100,48.594337
-100.879108,100,50.026061
-171.488557,100,51.497948
-149.977491,100,52.983578
-172.288658,100,54.444485
-104.076804,100,55.798132
-95.948589,100,57.086742
-102.968274,100,58.370146
-157.109671,100,59.639428
-171.577319,100,60.936605
-172.025389,100,62.209204
-85.342686,100,63.503541
-179.46899,100,64.902883
-129.33216,100,66.443998
-167.307377,100,68.127853
-173.076649,100,69.955216
-195.083647,100,71.683597
-140.273535,100,73.346969
-182.996462,100,75.102742
-147.151688,100,76.603951
-158.049209,100,78.092828
-155.720869,100,79.593539
-125.334403,100,81.001701
-141.165925,100,82.37164
-155.035637,100,83.820929
-126.006883,100,85.241089
-157.263332,100,86.622002
-155.887952,100,88.196858
-161.674715,100,89.712784
-120.802009,100,91.396668
-155.25899,100,92.952324
-146.468127,100,94.259199
-149.579326,100,95.797423
-148.172633,100,97.18115
-84.623101,100,98.449299
-127.473007,100,99.849722
-152.589133,100,101.145359
-138.266569,100,102.445631
-140.074664,100,103.749324
-107.197068,100,105.027525
-145.623385,100,106.319554
-133.20091,100,107.659755
-120.240699,100,108.986449
-109.763309,100,110.29926
-131.61534,100,111.567983
-141.644431,100,112.942809
-146.222482,100,114.259813
-106.961327,100,115.669539
-103.872642,100,116.963392
-117.869848,100,118.307513
-88.435603,100,119.654911
-112.793361,100,121.043981
-138.618481,100,122.351272
-87.725817,100,123.628412
-110.975591,100,124.939086
-130.311498,100,126.286245
-95.304633,100,127.619818
-90.50266,100,128.922154
-132.389795,100,130.209861
-459.471881,100,131.559038
-130.218241,100,132.827116
-114.34381,100,134.183276
141.192427,20,134.577372
-121.633097,100,135.923411
-226.828104,100,137.475454
-190.635403,100,138.795225
-228.336112,100,140.695116
-292.088095,100,142.311146
-164.68253,100,143.886901
-184.051161,100,145.244748
-166.44268,100,146.541474
-201.352539,100,147.82477
-196.256849,100,149.184704
-165.255117,100,150.534492
-154.665673,100,151.846097
-286.483505,100,153.221469
-1211.497589,100,154.535527
-172.240226,100,155.87503
-187.207278,100,157.210593
-153.421524,100,158.511313
-171.966771,100,159.904081
-207.658206,100,161.264846
-152.80257,100,162.609761
-216.600842,100,163.921734
-219.680056,100,165.231346
-291.02079,100,166.506497
-169.364991,100,167.948907
-283.108129,100,169.944149
-144.068035,100,171.272643
-125.035739,100,172.582541
-110.950619,100,173.910505
-101.172803,100,175.20469
-166.275967,100,176.610008
-525.325724,100,178.311998
-161.094664,100,179.583189
-127.477796,100,180.883151
-131.303027,100,182.194939
-999.271703,100,183.726688
-92.97292,100,185.033679
-834.009443,100,187.219597
-203.193394,100,188.550266
-150.927225,100,189.969062
-190.54657,100,191.406321
-170.997423,100,192.78416
-128.044573,100,194.18897
-226.115786,100,195.879142
-265.75648,100,197.762933
-131.575978,100,199.288774
-192.630472,100,201.330109
-178.637332,100,203.046197
-105.542083,100,204.398726
-215.950555,100,206.32709
-113.695725,100,207.640225
-90.768765,100,209.031529
-161.495196,100,210.364596
-164.138725,100,211.668767
-203.819389,100,212.968518
-118.837141,100,214.27116
-166.072736,100,215.546711
-138.964947,100,216.831321
-121.139187,100,218.134975
-301.205006,100,219.40331
-572.979666,100,220.673831
-176.209575,100,221.962842
-240.482812,100,223.251866
-114.108112,100,224.567691
-145.847984,100,225.872844
-158.208033,100,227.206767
-103.803314,100,228.498609
-96.391234,100,229.795374
-141.250085,100,231.078577
-125.768479,100,232.372722
-116.552594,100,233.648808
-118.457452,100,234.944958
-104.534127,100,236.228186
-148.687423,100,237.527965
-114.445503,100,238.816722
-101.554605,100,240.116215
-473.788113,100,241.422612
111.401316,43,242.088627
-117.230539,100,243.370814
-66.398706,100,244.670271
-74.000444,100,245.982543
-386.066889,100,247.243323
-169.166329,100,248.53007
-191.026204,100,249.813929
-219.626212,100,251.131616
-151.539654,100,252.431745
-113.627197,100,253.731893
-136.772844,100,255.122859
-263.950944,100,256.414234
-866.689395,100,257.683059
-186.791381,100,259.006405
-141.058887,100,260.409806
-121.994866,100,261.708913
-96.176066,100,262.997678
-128.58059,100,264.322817
-174.739327,100,265.658768
-237.937748,100,266.942757
-114.651282,100,268.214401
-104.747605,100,269.510191
-103.899027,100,270.79204
-153.340916,100,272.037335
-174.871685,100,273.34169
-100.371658,100,274.637976
-126.180467,100,275.954555
-117.097418,100,277.224879
-63.971014,100,278.562862
-168.880996,100,280.009228
-88.380395,100,281.398464
-100.373225,100,282.749899
-128.075887,100,284.045088
147.844791,17,284.403118
-125.876667,100,285.692677
-128.839443,100,286.974851
-100.281314,100,288.353037
-91.481384,100,289.727878
-121.322069,100,291.070814
-134.512784,100,292.352596
-101.495151,100,293.647958
-123.78926,100,294.970297
-117.037776,100,296.259214
-120.642456,100,297.563977
-89.941158,100,298.858328
-61.241126,100,300.123846
-93.57394,100,301.407065
-97.092725,100,302.698326
-134.173609,100,304.019072
116.342804,41,304.644716
-184.242921,100,305.958173
-112.237724,100,307.242506
-169.044106,100,308.57361
97.916658,56,309.357499
-187.086129,100,310.662697
-144.870507,100,311.976112
-143.431143,100,313.334304
-145.204093,100,314.64362
-84.086589,100,315.964218
-107.194127,100,317.280088
84.436614,50,318.012188
-86.395157,100,319.308283
138.683024,25,319.768926
-131.88524,100,321.074276
-105.399497,100,322.344147
-113.804314,100,323.627674
-87.914939,100,324.907266
139.931845,24,325.32136
-136.638058,100,326.601741
-100.620748,100,327.890114
-152.330826,100,329.17924
-113.275728,100,330.489974
-111.160212,100,331.78463
-86.757957,100,333.111664
