#{"t_start": 1764828803.3887002, "env_id": "None"}
r,l,t
-369.226297,100,1.636862
-340.03417,100,3.244521
-294.649844,100,4.557918
-322.038723,100,5.847291
-281.112603,100,7.140605
-354.929867,100,8.442296
-317.878732,100,9.858447
-298.402006,100,11.167488
-256.668793,100,12.463805
-218.926213,100,13.819095
-211.216721,100,15.127577
-257.979194,100,16.413554
-192.869858,100,17.762662
-177.845207,100,19.949337
-188.577379,100,21.383249
-180.343339,100,22.809033
-159.997786,100,24.163726
-175.623828,100,25.524776
-133.274747,100,26.87506
-139.684487,100,28.106869
-146.143643,100,31.570018
-117.65416,100,36.570634
-141.61646,100,41.570729
-91.764077,100,46.576804
-115.2357,100,51.573229
-122.419656,100,56.583854
-129.247255,100,61.590716
-149.014988,100,66.730886
-187.770394,100,72.223226
-136.185343,100,76.600734
-164.738326,100,81.627906
-170.469936,100,86.68614
-120.430259,100,91.602672
-109.375606,100,96.607515
-157.665983,100,101.982733
-126.145807,100,106.723321
-94.050006,100,111.635614
-74.644268,100,116.644448
45.152345,78,121.41919
-97.342291,100,125.64964
-111.013716,100,130.674356
-111.033444,100,135.690181
-102.825656,100,140.759983
-108.995155,100,145.765994
-104.292545,100,150.797923
-99.016882,100,155.780785
-99.305248,100,160.756644
-91.446991,100,165.724164
-118.736907,100,170.725382
-150.692102,100,175.736926
-150.377509,100,180.80067
-102.524726,100,185.745465
-96.074932,100,190.754075
-98.854618,100,195.75917
-91.020105,100,200.76157
-128.53859,100,205.758455
-81.279486,100,210.767165
-111.033912,100,215.752407
-114.434748,100,220.762596
-116.691381,100,225.783892
-108.595165,100,230.784018
-122.843527,100,235.7733
-133.059429,100,240.775779
-111.902211,100,245.791598
-132.056059,100,250.806888
-117.679798,100,255.818898
-111.753787,100,260.814508
-93.959397,100,265.81444
-81.940172,100,270.830644
-104.981022,100,275.839298
51.643554,80,280.653744
-89.637227,100,282.819155
-96.106851,100,287.829466
-98.811805,100,292.834406
69.916215,60,297.443936
-449.16819,100,300.850972
-601.816278,100,305.847388
-552.237832,100,310.850819
-266.001886,100,315.857191
-119.229835,100,320.861857
-115.828302,100,325.887237
-113.061523,100,330.880901
-109.223946,100,335.877363
-108.740379,100,340.883815
-105.952456,100,345.890248
-103.913527,100,349.894447
-86.300137,100,354.89999
-108.766896,100,359.90511
-96.224475,100,364.911014
65.093992,65,369.570285
-88.826506,100,373.916715
-103.456141,100,378.941688
58.082879,74,383.675366
