#{"t_start": 1764916300.63553, "env_id": "None"}
r,l,t
-337.633274,100,1.706321
-352.675584,100,3.32594
-346.983892,100,4.582867
-327.764702,100,5.869402
-254.520852,100,7.165174
-375.049569,100,8.399783
-274.819548,100,9.642442
-309.062872,100,10.895535
-270.195,100,12.162192
-255.176738,100,13.433568
-326.107272,100,14.759729
-284.475263,100,16.166083
-335.862767,100,17.665319
-229.849522,100,19.082235
-285.199953,100,20.490932
-268.642017,100,21.92446
-124.889902,100,23.283851
-241.498799,100,24.580172
-209.818568,100,25.90433
-244.818684,100,27.149208
-228.597786,100,28.389908
-198.159884,100,29.636121
-188.020486,100,30.913273
-142.772279,100,32.267995
-172.899673,100,33.638559
-204.091892,100,34.925792
-195.198619,100,36.203568
-125.40709,100,37.486989
-187.920949,100,38.753834
-185.092773,100,40.012406
-189.31276,100,41.27433
-178.749674,100,42.54041
-101.35033,100,43.834348
-172.599437,100,45.151351
-91.15062,100,46.503055
-176.003856,100,47.819591
-108.828727,100,49.10625
-152.825095,100,50.401742
-110.496735,100,51.75353
-83.295811,100,53.16048
-132.779479,100,54.596806
-189.141078,100,56.008755
-108.716039,100,57.336329
-123.78713,100,58.63479
-156.383191,100,59.93134
-163.44996,100,61.291479
-159.629236,100,62.613532
-99.446933,100,63.879679
-129.272433,100,65.183327
-109.705191,100,66.844835
-127.894504,100,71.310031
-101.512469,100,76.315248
-161.404467,100,81.389697
-166.230589,100,86.401015
-109.865811,100,91.415795
-136.820104,100,96.411401
-117.264337,100,101.418394
-111.631363,100,106.432452
-171.456279,100,111.419979
-140.523804,100,116.359621
-127.181298,100,121.377321
-214.522006,100,126.551171
133.844551,23,130.552008
-123.526751,100,135.331538
-162.285936,100,140.334488
-149.978529,100,145.344314
-156.890731,100,150.343715
-119.619227,100,155.35516
-135.273974,100,160.342417
-145.80396,100,165.333202
-154.273999,100,170.391038
-115.631363,100,175.356836
-75.701052,100,180.371789
-87.519795,100,185.378201
-82.329104,100,190.390794
-113.452683,100,195.385381
-83.506048,100,200.450287
-116.579603,100,205.383291
-85.209151,100,210.400752
-150.716517,100,215.39225
-152.845167,100,220.426892
-96.890943,100,225.416827
-98.642517,100,230.4219
-142.5747,100,235.416033
-98.91956,100,240.459016
-129.642512,100,245.422759
-110.23116,100,249.413159
-108.679337,100,254.431743
-105.517024,100,259.418589
-111.135963,100,264.444321
131.723545,27,268.709795
-86.503119,100,273.4584
-118.28448,100,278.462722
-97.815749,100,283.461281
-111.165592,100,288.47239
-118.097775,100,293.475071
-123.662688,100,298.48091
-78.205141,100,303.48315
-127.480548,100,308.480843
-120.028882,100,313.48206
122.367209,34,317.828379
-76.403548,100,322.493575
-122.692343,100,327.501355
-74.188847,100,332.499418
-114.36779,100,337.504166
-102.032585,100,341.514509
-80.088404,100,346.524323
-100.238942,100,351.519192
-124.505223,100,356.490244
-108.58888,100,361.525917
-111.950209,100,366.528277
-141.501025,100,371.532604
-129.77188,100,376.60188
-100.78932,100,381.558464
-115.813619,100,385.645841
-103.583526,100,390.557234
-65.177469,100,395.569372
-122.554809,100,400.628935
-102.189694,100,404.656117
-87.828537,100,409.669488
-91.939258,100,414.670751
-98.880772,100,419.661066
-101.607945,100,424.678855
-94.353579,100,429.596855
-478.538457,100,434.637181
-836.489789,100,439.636207
-118.738688,100,443.635996
-81.479512,100,448.692252
-989.236757,100,453.705301
-655.158704,100,458.682384
-94.819835,100,463.696422
-241.150737,100,468.741277
-218.136514,100,473.69635
-305.624893,100,478.699623
-487.885515,100,482.661553
-653.439856,100,487.722404
-265.351608,100,492.783487
-232.366767,100,497.775544
-286.528852,100,502.820657
-174.405491,100,507.770544
-140.597826,100,512.669879
-114.752628,100,517.783766
-125.984798,100,522.688661
-144.620664,100,527.719657
-115.876446,100,532.739136
-86.448754,100,536.813534
-96.718324,100,541.786707
-58.087492,100,546.729542
-103.013694,100,551.762961
-98.26332,100,556.788905
-95.524464,100,561.709776
-93.024254,100,566.703181
-86.227092,100,571.746939
-53.601897,100,576.809271
-112.236581,100,581.846727
-85.213638,100,586.853635
-121.186718,100,591.773293
