#{"t_start": 1765095152.9303436, "env_id": "None"}
r,l,t
-1569.083763,100,1.613029
-1833.185429,100,3.437354
-1294.028671,100,4.880749
-896.329922,100,6.295058
-913.680983,100,7.674374
-698.237429,100,9.034927
-885.189243,100,10.377875
-704.649882,100,11.759797
-656.182455,100,13.129505
-715.398488,100,14.75142
-573.816425,100,16.17302
-667.278315,100,17.60932
-645.264699,100,20.001165
-600.629493,100,22.078092
-572.930725,100,23.463367
-984.869216,100,24.848449
-594.476241,100,26.227089
-800.642861,100,27.588645
-465.722077,100,29.455068
-409.195617,100,31.490296
-340.07651,100,34.119321
-357.076556,100,35.67891
-461.595281,100,37.937145
-461.2617,100,40.136083
-314.832491,100,42.007683
-435.747382,100,43.887259
-357.291509,100,45.513049
-353.100688,100,46.988161
-313.509914,100,48.459316
-236.154237,100,49.862362
-330.498818,100,51.441313
-262.617584,100,52.917187
-324.863258,100,54.37131
-247.921342,100,55.753623
-319.011838,100,57.290563
-236.997264,100,58.673689
-256.093605,100,60.18404
-333.264149,100,61.707392
-377.128994,100,63.335954
-514.168384,100,64.860936
-484.568918,100,66.403744
-602.07073,100,67.810853
-476.430026,100,69.199468
-604.112831,100,70.68935
-422.741148,100,72.113747
-274.911397,100,73.541666
-215.297507,100,74.938934
-451.387486,100,76.30501
-342.436145,100,77.6542
-379.475909,100,79.057465
-245.485867,100,80.479627
-251.813573,100,81.943173
-257.034533,100,83.382925
-234.200703,100,84.865007
-236.275206,100,86.320195
-253.547464,100,87.799522
-240.667072,100,89.226893
-229.246351,100,90.67897
190.796258,3,90.849733
-266.3188,100,92.228238
-220.414317,100,93.6864
-247.752963,100,95.13833
-223.195741,100,96.559387
-255.113914,100,97.957656
-255.800856,100,99.420954
-201.64,100,100.866477
-241.343613,100,102.324691
-213.434474,100,103.727747
-225.478824,100,105.112821
-244.28694,100,106.650132
-315.089851,100,108.205179
-4610.609962,100,110.689996
-451.751107,100,112.232904
-371.295325,100,113.654198
-525.671525,100,115.039029
-599.754295,100,116.400415
-626.155647,100,117.747958
-652.063735,100,119.134578
-417.281595,100,120.506799
-375.897947,100,121.892161
-483.387806,100,123.289448
-697.48623,100,124.656402
-648.739278,100,126.036618
-545.594629,100,127.402332
-540.443765,100,128.769076
-544.308589,100,130.129942
-502.201892,100,131.575398
-269.242988,100,133.311331
-274.65453,100,134.722549
-318.598766,100,136.295828
-268.925372,100,137.802389
-296.546542,100,139.254417
-287.209681,100,140.639816
-407.023884,100,142.018495
-585.186913,100,143.385268
-529.066771,100,144.782165
-564.110301,100,146.205428
-609.744556,100,147.872528
-752.442897,100,149.241439
-450.114106,100,150.838739
-448.309562,100,152.315537
-467.148786,100,153.736969
-301.392451,100,155.321302
-496.663487,100,156.786321
-134.224001,99,158.300997
-230.977372,100,159.836337
-244.269446,100,161.28904
-252.912479,100,162.703197
-237.771758,100,164.173536
-342.302157,100,165.631489
-296.675121,100,167.119791
-219.652257,100,168.559343
-297.803655,100,170.093135
-331.374857,100,171.714448
-377.796139,100,173.133898
-602.675279,100,175.858726
-336.91836,100,177.356079
-607.155104,100,179.972192
-355.685218,100,181.353717
-643.824441,100,182.823832
-218.653376,100,184.371925
-324.59272,100,185.764454
-178.711604,100,187.283817
-412.708475,100,188.716375
-399.508916,100,190.195146
-320.087417,100,191.698889
-293.997934,100,193.11623
-410.554443,100,194.542422
-279.551954,100,195.936
-361.799099,100,197.3795
-408.145694,100,198.807788
-284.892038,100,200.22274
-293.4279,100,201.681629
-304.406233,100,203.076492
-302.307457,100,204.499622
-419.599576,100,205.927277
-327.827931,100,207.38527
-242.558611,100,208.812752
-342.459683,100,210.216121
-232.970317,100,211.607174
-250.797529,100,213.059683
-329.850025,100,214.480544
-362.555503,100,215.891325
-383.525642,100,217.323379
-283.702773,100,218.715735
-369.745618,100,220.16683
-343.216371,100,221.545788
-275.505832,100,222.973637
-288.303383,100,224.437953
-312.812779,100,225.816814
-287.480052,100,227.250958
-338.777611,100,228.671948
-288.91358,100,230.100277
-275.42458,100,231.455116
-284.963117,100,232.839478
-354.75752,100,234.215168
-303.002096,100,236.199594
-321.369634,100,237.615309
-259.038331,100,238.987911
-245.097877,100,240.353794
-243.361443,100,241.727001
-243.645802,100,243.132633
-235.607219,100,244.503357
-248.758386,100,245.91824
-296.040234,100,247.389528
-235.408416,100,248.827515
-296.651534,100,250.207744
-368.304667,100,251.635376
-293.069043,100,253.033529
-377.698145,100,254.448222
-325.215193,100,255.851192
-264.136699,100,257.321879
-316.637949,100,258.753774
