#{"t_start": 1765077872.44755, "env_id": "None"}
r,l,t
-482.377664,100,1.724851
-454.72056,100,4.752602
-290.139093,100,13.909002
-308.496531,100,16.855249
-388.980839,100,19.564298
-285.852113,100,23.776414
-307.454132,100,34.452645
-262.762742,100,36.474087
-312.656949,100,38.72211
-254.866467,100,41.149376
-230.665294,100,53.362514
-224.284788,100,55.528854
-267.861769,100,57.975049
-228.272734,100,60.128375
-207.016422,100,66.33138
-200.533763,100,68.192315
-232.165336,100,70.302527
-238.650125,100,72.702135
-226.93049,100,74.486283
-217.176673,100,76.381315
-229.392864,100,78.801137
-198.43113,100,80.410715
-202.407763,100,83.114456
88.382277,38,83.764226
-215.982239,100,85.419853
-207.204522,100,87.0505
-201.337515,100,88.806732
-201.043586,100,90.977989
-251.018389,100,92.727701
-235.925463,100,94.548327
-228.175929,100,96.206079
-219.819012,100,98.174254
-197.976306,100,100.044933
-203.490986,100,101.855788
-223.381277,100,103.647154
-222.384269,100,105.383318
-210.330583,100,107.330151
-194.798406,100,109.054689
-195.481622,100,110.827061
-195.989227,100,112.640421
-198.587041,100,114.48208
-198.466183,100,116.325069
-215.168265,100,118.124625
-196.929692,100,119.9537
-206.343775,100,121.729227
-214.350907,100,123.604958
-187.101621,100,125.446955
-185.709368,100,127.364347
-194.206751,100,128.844273
-205.403539,100,130.472154
-200.428199,100,132.025321
-194.240437,100,133.540049
-208.242475,100,135.001625
-174.981301,100,136.584887
-185.658454,100,138.159399
-206.90513,100,139.728343
-174.19545,100,141.253459
-198.807919,100,142.723165
-203.839537,100,144.306098
-220.325195,100,145.834415
-190.242049,100,147.431657
-199.12872,100,149.078736
-185.536392,100,150.694452
-195.721288,100,152.172668
-202.280105,100,153.668312
-193.521996,100,155.182651
-214.018822,100,156.572947
-172.132174,100,158.002839
-192.869299,100,159.62783
-195.505548,100,161.143669
-199.551556,100,162.89751
-215.362456,100,164.318019
-183.787861,100,165.876676
-193.034767,100,167.513598
-176.464222,100,168.98346
-184.721215,100,170.619104
-196.482551,100,172.196003
-189.770055,100,173.665249
-204.878657,100,175.202341
-169.316614,100,176.805948
-176.519402,100,178.251262
-174.462978,100,179.722726
-187.69331,100,181.374415
-185.529796,100,183.057802
-166.567945,100,184.604381
-184.380211,100,186.240834
-180.934983,100,187.735536
-207.059313,100,189.333643
-189.441068,100,190.87896
-208.750788,100,192.3982
-183.153626,100,193.950938
-182.67434,100,195.554289
-219.692204,100,197.012372
-181.375173,100,198.56196
-181.338308,100,200.082805
-199.902867,100,201.587403
-169.856678,100,203.222036
-216.131871,100,204.691902
-198.443472,100,206.27787
-198.334173,100,207.774931
-176.736997,100,209.34609
-204.37396,100,210.812443
-205.507022,100,212.32898
-253.718862,100,213.884682
-201.908246,100,215.397223
-187.308298,100,216.953558
-167.442627,100,218.44712
-175.123946,100,219.996478
-192.966914,100,221.589731
-192.767439,100,223.173561
-180.518438,100,224.68715
-188.795826,100,226.198271
-187.133436,100,227.688186
-181.470358,100,229.256299
-195.455491,100,230.746366
-184.871374,100,232.294506
-210.273772,100,233.853446
-211.295418,100,235.495338
-197.772178,100,236.97103
-211.24562,100,238.441305
-230.505704,100,239.850621
-207.501229,100,241.315022
-207.302221,100,242.779088
-220.752911,100,244.308826
-180.253561,100,245.879326
-210.232342,100,247.526555
-178.822699,100,249.109712
-184.156393,100,250.737986
-199.693267,100,252.293007
-171.210789,100,253.830161
-188.343682,100,255.354632
-184.686098,100,256.904507
-179.96925,100,258.50216
-195.882281,100,260.003604
-173.004604,100,261.637499
-192.992854,100,263.167932
-224.681697,100,264.632066
-197.889211,100,266.224545
-206.186587,100,267.774635
-210.049888,100,269.330618
-185.90286,100,270.914477
